Name,Manufacturer,Technology,Bifacial,STC,PTC,A_c,Length,Width,N_s,I_sc_ref,V_oc_ref,I_mp_ref,V_mp_ref,alpha_sc,beta_oc,T_NOCT,a_ref,I_L_ref,I_o_ref,R_s,R_sh_ref,Adjust,gamma_r,BIPV,Version,Date
Advance Power API-M225,Advance Power,Mono-c-Si,0,225,200.7,1.638,1.646,0.995,60,8.11,37.02,7.5,30,0.0043575,-0.131939,46,1.61348,8.12534,8.56987e-10,0.30842,163.062,10.7133,-0.4796,N,SAM 2021.12.02,5/28/2022
Advance Power API-P225,Advance Power,Multi-c-Si,0,224.968,200.5,1.638,1.646,0.995,60,8.1,36.42,7.41,30.36,0.00466398,-0.121716,47.6,1.57896,8.11454,7.44629e-10,0.17931,99.857,16.8136,-0.4501,N,SAM 2021.12.02,5/28/2022
Advance Power API-M230,Advance Power,Mono-c-Si,0,230.124,205.3,1.638,1.646,0.995,60,8.18,37.32,7.55,30.48,0.00439511,-0.133008,46,1.63629,8.1951,9.87695e-10,0.270574,146.615,11.9285,-0.4796,N,SAM 2021.12.02,5/28/2022
Advance Power API-P230,Advance Power,Multi-c-Si,0,230.124,205,1.638,1.646,0.995,60,8.17,36.6,7.55,30.48,0.00470429,-0.122317,47.6,1.57575,8.18115,6.47152e-10,0.186422,136.579,15.3728,-0.4501,N,SAM 2021.12.02,5/28/2022
Advance Power API-M235,Advance Power,Mono-c-Si,0,234.986,209.8,1.638,1.646,0.995,60,8.26,37.5,7.59,30.96,0.0044381,-0.13365,46,1.6598,8.27471,1.22784e-09,0.216058,121.312,13.8568,-0.4796,N,SAM 2021.12.02,5/28/2022
Advance Power API-P235,Advance Power,Multi-c-Si,0,235.008,209.6,1.638,1.646,0.995,60,8.23,36.72,7.68,30.6,0.00473883,-0.122718,47.6,1.57208,8.23718,5.78721e-10,0.185267,212.381,14.228,-0.4501,N,SAM 2021.12.02,5/28/2022
Advance Power API-M240,Advance Power,Mono-c-Si,0,239.928,214.4,1.638,1.646,0.995,60,8.29,37.56,7.69,31.2,0.00445422,-0.133864,46,1.6586,8.29911,1.18185e-09,0.188824,171.849,13.4386,-0.4796,N,SAM 2021.12.02,5/28/2022
Advance Power API-P240,Advance Power,Multi-c-Si,0,241.266,214.2,1.638,1.646,0.995,60,8.42,36.72,7.9,30.54,0.00484824,-0.122718,47.6,1.56517,8.42525,5.37654e-10,0.191402,307.064,13.3178,-0.4501,N,SAM 2021.12.02,5/28/2022
Advance Power API-M245,Advance Power,Mono-c-Si,0,245.07,219,1.638,1.646,0.995,60,8.32,37.62,7.78,31.5,0.00447034,-0.134078,46,1.66081,8.32486,1.1894e-09,0.152729,261.65,13.4369,-0.4796,N,SAM 2021.12.02,5/28/2022
Advance Power API-P245,Advance Power,Multi-c-Si,0,246.72,218.8,1.638,1.646,0.995,60,8.46,36.9,8,30.84,0.00487127,-0.12332,47.6,1.56995,8.46168,5.21938e-10,0.17119,863.015,12.9737,-0.4501,N,SAM 2021.12.02,5/28/2022
Advance Power API-M250,Advance Power,Mono-c-Si,0,250.002,223.6,1.638,1.646,0.995,60,8.59,37.62,8.17,30.6,0.00461541,-0.134078,46,1.62462,8.67903,7.57549e-10,0.27907,774.77,8.95777,-0.4796,N,SAM 2021.12.02,5/28/2022
Advance Power API-P250,Advance Power,Multi-c-Si,0,250.536,223.4,1.638,1.646,0.995,60,8.52,37.2,8.03,31.2,0.00490582,-0.124322,47.6,1.58903,8.52286,5.74657e-10,0.15455,460.865,13.8067,-0.4501,N,SAM 2021.12.02,5/28/2022
Advance Power API-M255,Advance Power,Mono-c-Si,0,255.51,228.2,1.638,1.646,0.995,60,8.67,37.68,8.35,30.6,0.00465839,-0.134292,46,1.62244,8.84554,7.23801e-10,0.281642,1963.9,8.38365,-0.4796,N,SAM 2021.12.02,5/28/2022
Advance Power API-P255,Advance Power,Multi-c-Si,0,255.005,228,1.638,1.646,0.995,60,8.56,37.5,8.08,31.56,0.00492885,-0.125325,47.6,1.60355,8.56217,5.92788e-10,0.139755,551.226,14.0452,-0.4501,N,SAM 2021.12.02,5/28/2022
Advance Power API-M260,Advance Power,Mono-c-Si,0,260.1,232.9,1.638,1.646,0.995,60,8.8,37.8,8.5,30.6,0.00472824,-0.134719,46,1.63053,9.07339,7.67344e-10,0.288533,387.91,8.70904,-0.4796,N,SAM 2021.12.02,5/28/2022
Advance Power API-P260,Advance Power,Multi-c-Si,0,260.133,231.5,1.951,1.961,0.995,72,7.83,43.2,7.24,35.93,0.00450851,-0.144374,47.6,1.85782,7.84078,6.04759e-10,0.23736,172.385,15.1342,-0.4501,N,SAM 2021.12.02,5/28/2022
Advance Power API-M265,Advance Power,Mono-c-Si,0,264.96,235.7,1.951,1.961,0.995,72,8.11,44.42,7.36,36,0.00432425,-0.144098,47.9,1.88899,8.14056,4.72387e-10,0.385226,102.246,16.0678,-0.4485,N,SAM 2021.12.02,5/28/2022
Advance Power API-P265,Advance Power,Multi-c-Si,0,264.906,236,1.951,1.961,0.995,72,7.95,43.27,7.33,36.14,0.00457761,-0.144608,47.6,1.86879,7.9609,6.75358e-10,0.208736,152.276,16.0392,-0.4501,N,SAM 2021.12.02,5/28/2022
Advance Power API-M270,Advance Power,Mono-c-Si,0,269.402,240.3,1.951,1.961,0.995,72,8.14,44.64,7.44,36.21,0.00434025,-0.144812,47.9,1.891,8.16542,4.36443e-10,0.381959,122.325,15.2677,-0.4485,N,SAM 2021.12.02,5/28/2022
Advance Power API-P270,Advance Power,Multi-c-Si,0,269.946,240.6,1.951,1.961,0.995,72,8.1,43.7,7.41,36.43,0.00466398,-0.146045,47.6,1.89462,8.11453,7.45003e-10,0.214939,119.812,16.8183,-0.4501,N,SAM 2021.12.02,5/28/2022
Advance Power API-M275,Advance Power,Mono-c-Si,0,275.082,244.9,1.951,1.961,0.995,72,8.18,44.78,7.52,36.58,0.00436158,-0.145266,47.9,1.89814,8.1995,4.47981e-10,0.341904,143.397,15.4475,-0.4485,N,SAM 2021.12.02,5/28/2022
Advance Power API-P275,Advance Power,Multi-c-Si,0,275.082,245.2,1.951,1.961,0.995,72,8.17,43.92,7.52,36.58,0.00470429,-0.146781,47.6,1.89574,8.18267,6.83376e-10,0.221689,142.923,15.8986,-0.4501,N,SAM 2021.12.02,5/28/2022
Advance Power API-M280,Advance Power,Mono-c-Si,0,280.136,249.5,1.951,1.961,0.995,72,8.21,44.86,7.6,36.86,0.00437757,-0.145526,47.9,1.90009,8.22399,4.45016e-10,0.309335,181.535,15.3279,-0.4485,N,SAM 2021.12.02,5/28/2022
Advance Power API-P280,Advance Power,Multi-c-Si,0,280.174,249.8,1.951,1.961,0.995,72,8.23,44.06,7.63,36.72,0.00473883,-0.147249,47.6,1.89398,8.23978,6.31106e-10,0.219636,184.905,15.0581,-0.4501,N,SAM 2021.12.02,5/28/2022
Advance Power API-M285,Advance Power,Mono-c-Si,0,285.314,254,1.951,1.961,0.995,72,8.39,44.21,7.77,36.72,0.00447355,-0.143417,47.9,1.8839,8.40155,5.23926e-10,0.238597,173.296,16.6591,-0.4485,N,SAM 2021.12.02,5/28/2022
Advance Power API-P285,Advance Power,Multi-c-Si,0,285.123,256.9,1.951,1.961,0.995,72,8.32,44.21,7.75,36.79,0.00499283,-0.14523,46.2,1.87699,8.32857,4.79749e-10,0.23235,225.478,14.3535,-0.4402,N,SAM 2021.12.02,5/28/2022
Advance Power API-M290,Advance Power,Mono-c-Si,0,290.088,258.6,1.951,1.961,0.995,72,8.48,44.43,7.9,36.72,0.00452154,-0.144131,47.9,1.88108,8.48981,4.58254e-10,0.266206,230.131,15.2774,-0.4485,N,SAM 2021.12.02,5/28/2022
Advance Power API-P290,Advance Power,Multi-c-Si,0,292.848,261.5,1.951,1.961,0.995,72,8.46,44.28,7.96,36.79,0.00507685,-0.14546,46.2,1.86706,8.46432,4.19597e-10,0.240321,471.072,12.9284,-0.4402,N,SAM 2021.12.02,5/28/2022
Advance Power API-P295,Advance Power,Multi-c-Si,0,296.08,266.1,1.951,1.961,0.995,72,8.49,44.42,8,37.01,0.00509485,-0.14592,46.2,1.87435,8.4935,4.29141e-10,0.225407,546.469,13.097,-0.4402,N,SAM 2021.12.02,5/28/2022
Advance Power API-P300,Advance Power,Multi-c-Si,0,303.163,270.7,1.951,1.961,0.995,72,8.54,44.86,8.05,37.66,0.00512485,-0.147365,46.2,1.90068,8.54297,4.7539e-10,0.185136,532.522,13.9849,-0.4402,N,SAM 2021.12.02,5/28/2022
Advance Power API-P305,Advance Power,Multi-c-Si,0,305.99,275.4,1.951,1.961,0.995,72,8.56,45,8.08,37.87,0.00513686,-0.147825,46.2,1.90771,8.56236,4.83674e-10,0.172328,624.733,14.1182,-0.4402,N,SAM 2021.12.02,5/28/2022
Advance Power API-P310,Advance Power,Multi-c-Si,0,310.243,277.3,1.951,1.961,0.995,72,8.62,45.22,8.16,38.02,0.0049634,-0.151125,47.6,1.9293,8.62124,5.681e-10,0.173687,1204.63,13.5769,-0.4501,N,SAM 2021.12.02,5/28/2022
Advance Power API-P315,Advance Power,Multi-c-Si,0,316.828,281.9,1.951,1.961,0.995,72,8.67,45.58,8.24,38.45,0.00499219,-0.152328,47.6,1.95434,8.75977,6.43328e-10,0.152418,434.906,14.6125,-0.4501,N,SAM 2021.12.02,5/28/2022
Advance Power API-P320,Advance Power,Multi-c-Si,0,320.25,288.7,1.94,,,72,9.38,45.5,8.75,36.6,0.00469,-0.1456,47.7,1.83488,9.39566,1.56562e-10,0.396393,237.367,6.33473,-0.42,N,SAM 2021.12.02,5/28/2022
Advance Power API-P325,Advance Power,Multi-c-Si,0,325.089,293.4,1.94,,,72,9.44,45.8,8.81,36.9,0.00472,-0.14656,47.7,1.84818,9.45514,1.60178e-10,0.388649,242.376,6.47478,-0.42,N,SAM 2021.12.02,5/28/2022
Advance Power API-M330,Advance Power,Mono-c-Si,0,329.875,302.4,1.94,,,72,9.57,46.8,8.75,37.7,0.003828,-0.1404,44.6,1.88584,9.60619,1.52834e-10,0.397226,105.04,13.2757,-0.42,N,SAM 2021.12.02,5/28/2022
Advance Power API-P330,Advance Power,Multi-c-Si,0,329.964,298,1.94,,,72,9.5,46.1,8.87,37.2,0.00475,-0.14752,47.7,1.86148,9.51462,1.63824e-10,0.381014,247.53,6.6126,-0.42,N,SAM 2021.12.02,5/28/2022
Advance Power API-M335,Advance Power,Mono-c-Si,0,335.16,307.1,1.94,,,72,9.61,47,8.82,38,0.003844,-0.141,44.6,1.89369,9.64133,1.53702e-10,0.378964,116.228,13.2764,-0.42,N,SAM 2021.12.02,5/28/2022
Advance Power API-P335,Advance Power,Multi-c-Si,0,336.144,302.7,1.94,,,72,9.56,46.4,8.94,37.6,0.00478,-0.14848,47.7,1.87642,9.57281,1.71371e-10,0.360408,268.867,6.94184,-0.42,N,SAM 2021.12.02,5/28/2022
Advance Power API-M340,Advance Power,Mono-c-Si,0,343.168,311.8,1.94,,,72,9.64,47.2,8.96,38.3,0.003856,-0.1416,44.6,1.89196,9.65896,1.37594e-10,0.362158,184.105,12.1956,-0.42,N,SAM 2021.12.02,5/28/2022
Advance Power API-M345,Advance Power,Mono-c-Si,0,344.832,315.8,1.94,,,72,9.72,47.3,8.98,38.4,0.003888,-0.1419,44.6,1.92298,9.74363,1.95646e-10,0.352268,144.905,15.3628,-0.43,N,SAM 2021.12.02,5/28/2022
Advance Power API-M350,Advance Power,Mono-c-Si,0,350.35,320.5,1.94,,,72,9.81,47.4,9.1,38.5,0.003924,-0.1422,44.6,1.9231,9.83016,1.88639e-10,0.347745,169.18,14.9232,-0.43,N,SAM 2021.12.02,5/28/2022
Advance Power API-M355,Advance Power,Mono-c-Si,0,355.506,325.5,1.94,,,72,9.9,47.5,9.21,38.6,0.004158,-0.13395,46.7,1.83477,9.92078,5.50851e-11,0.363881,173.383,10.6645,-0.386,N,SAM 2021.12.02,5/28/2022
Advance Power API-M360,Advance Power,Mono-c-Si,0,359.752,330.2,1.94,,,72,9.99,47.6,9.32,38.6,0.0041958,-0.134232,46.7,1.83376,10.0087,5.2076e-11,0.371643,198.907,10.0718,-0.386,N,SAM 2021.12.02,5/28/2022
Advance Power API-M365,Advance Power,Mono-c-Si,0,364.941,334.9,1.94,,,72,10.08,47.7,9.43,38.7,0.0042336,-0.134514,46.7,1.83539,10.096,5.10811e-11,0.366837,230.539,9.8102,-0.386,N,SAM 2021.12.02,5/28/2022
Advance Power API-M370,Advance Power,Mono-c-Si,0,370.152,339.6,1.94,,,72,10.17,47.8,9.54,38.8,0.0042714,-0.134796,46.7,1.83708,10.1834,5.01443e-11,0.362118,273.817,9.55693,-0.386,N,SAM 2021.12.02,5/28/2022
Advanced Solar Power (Hangzhou) ASP-S1-80,Advanced Solar Power (Hangzhou),Thin Film,0,79.985,75.2,0.72,1.2,0.6,145,0.95,118.9,0.85,94.1,0.00085215,-0.363596,45.2,4.30037,0.958205,8.6779e-13,13.7213,1588.73,-12.4295,-0.2634,N,SAM 2021.12.02,5/28/2022
Alps Technology ATI-S572-175,Alps Technology,Mono-c-Si,0,175.091,151.3,1.287,1.57,0.82,72,5.17,43.99,4.78,36.63,0.00214555,-0.159068,49.9,1.9817,5.1757,1.14916e-09,0.316688,287.102,16.0571,-0.5072,N,SAM 2021.12.02,5/28/2022
Alps Technology ATI-S572-180,Alps Technology,Mono-c-Si,0,179.928,155.7,1.287,1.57,0.82,72,5.31,44.06,4.9,36.72,0.00220365,-0.159321,49.9,1.98841,5.31615,1.22524e-09,0.299919,259.048,16.419,-0.5072,N,SAM 2021.12.02,5/28/2022
Alps Technology ATI-S572-185,Alps Technology,Mono-c-Si,0,185.054,160.2,1.287,1.57,0.82,72,5.43,44.14,5.03,36.79,0.00225345,-0.15961,49.9,1.98714,5.43541,1.19204e-09,0.295414,296.758,15.9327,-0.5072,N,SAM 2021.12.02,5/28/2022
Alps Technology ATI-M660-220,Alps Technology,Multi-c-Si,0,219.876,189.1,1.61,1.626,0.99,60,7.95,36.06,7.3,30.12,0.0043566,-0.130681,50.2,1.67309,7.95906,3.34415e-09,0.140393,123.168,21.8752,-0.5196,N,SAM 2021.12.02,5/28/2022
Alps Technology ATI-M660-225,Alps Technology,Multi-c-Si,0,224.986,193.6,1.61,1.626,0.99,60,8.04,36.24,7.44,30.24,0.00440592,-0.131334,50.2,1.67178,8.04721,3.01424e-09,0.14737,164.419,20.6984,-0.5196,N,SAM 2021.12.02,5/28/2022
Alps Technology ATI-M660-230,Alps Technology,Multi-c-Si,0,230.129,198,1.61,1.626,0.99,60,8.1,36.42,7.58,30.36,0.0044388,-0.131986,50.2,1.66693,8.10383,2.59413e-09,0.15572,328.942,19.1057,-0.5196,N,SAM 2021.12.02,5/28/2022
Alps Technology ATI-M660-235,Alps Technology,Multi-c-Si,0,235.008,202.5,1.61,1.626,0.99,60,8.23,36.72,7.68,30.6,0.00451004,-0.133073,50.2,1.68335,8.23489,2.72035e-09,0.15514,261.164,19.4253,-0.5196,N,SAM 2021.12.02,5/28/2022
Alps Technology ATI-M660-240,Alps Technology,Multi-c-Si,0,240.538,207,1.61,1.626,0.99,60,8.32,36.84,7.83,30.72,0.00455936,-0.133508,50.2,1.68046,8.32195,2.49123e-09,0.153677,655.014,18.4293,-0.5196,N,SAM 2021.12.02,5/28/2022
Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd AS-6P30-245W,Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd,Multi-c-Si,0,245.1,216.4,1.624,1.64,0.99,60,8.75,37.5,8.17,30,0.006125,-0.13875,46.8,1.6845,8.7578,1.85843e-09,0.329859,370.16,12.6164,-0.51,N,SAM 2021.12.02,5/28/2022
Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd AS-6P30-250W,Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd,Multi-c-Si,0,250.056,221,1.624,1.64,0.99,60,8.83,37.7,8.28,30.2,0.006181,-0.13949,46.8,1.69048,8.83418,1.8117e-09,0.323229,683.521,12.2849,-0.51,N,SAM 2021.12.02,5/28/2022
Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd AS-6P30-255W,Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd,Multi-c-Si,0,255.3,225.5,1.624,1.64,0.99,60,8.89,37.3,8.51,30,0.006223,-0.13801,46.8,1.67408,9.07253,1.89965e-09,0.294943,696.192,12.4897,-0.51,N,SAM 2021.12.02,5/28/2022
Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd AS-6P30-260W,Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd,Multi-c-Si,0,260.1,230.1,1.624,1.64,0.99,60,9.01,38,8.5,30.6,0.006307,-0.1406,46.8,1.71252,9.10774,2.07698e-09,0.293456,349.371,13.2902,-0.51,N,SAM 2021.12.02,5/28/2022
Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd AS-6P30-265W,Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd,Multi-c-Si,0,264.979,241.7,1.611,1.634,0.986,60,9.24,38.29,8.62,30.74,0.00509124,-0.119848,45.3,1.55093,9.25523,1.72043e-10,0.3448,209.141,9.62632,-0.422,N,SAM 2021.12.02,5/28/2022
Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd AS-6P30-270W,Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd,Multi-c-Si,0,270.058,246.4,1.611,1.634,0.986,60,9.31,38.72,8.72,30.97,0.00512981,-0.121194,45.3,1.5616,9.32159,1.56621e-10,0.361675,290.612,8.71675,-0.422,N,SAM 2021.12.02,5/28/2022
Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd AS-6P30-275W,Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd,Multi-c-Si,0,274.99,251.1,1.611,1.634,0.986,60,9.35,38.92,8.78,31.32,0.00515185,-0.12182,45.3,1.57283,9.35885,1.65739e-10,0.336519,355.415,9.16914,-0.422,N,SAM 2021.12.02,5/28/2022
Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd AS-6M30-280W,Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd,Mono-c-Si,0,280.02,255.9,1.611,1.634,0.986,60,9.23,39.26,9.03,31.01,0.00453193,-0.116602,45.2,1.55177,9.61308,9.80355e-11,0.410467,474.67,10.1717,-0.421,N,SAM 2021.12.02,5/28/2022
Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd AS-6P30-280W,Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd,Multi-c-Si,0,280.051,255.8,1.611,1.634,0.986,60,9.47,39.16,8.84,31.68,0.00521797,-0.122571,45.3,1.59252,9.48416,1.94549e-10,0.311929,208.654,10.5004,-0.422,N,SAM 2021.12.02,5/28/2022
Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd AS-6M30-285W,Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd,Mono-c-Si,0,285.058,260.6,1.611,1.634,0.986,60,9.46,39.18,8.95,31.85,0.00464486,-0.116365,45.2,1.57071,9.46265,1.38417e-10,0.296468,1056.7,13.3769,-0.421,N,SAM 2021.12.02,5/28/2022
Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd AS-6P-320W,Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd,Multi-c-Si,0,320.061,291.9,1.923,1.95,0.986,72,9.24,45.94,8.62,37.13,0.00509124,-0.143792,45.3,1.86789,9.25447,1.88835e-10,0.379767,242.523,10.4557,-0.422,N,SAM 2021.12.02,5/28/2022
Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd AS-6P-325W,Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd,Multi-c-Si,0,325.082,296.6,1.923,1.95,0.986,72,9.28,46.31,8.72,37.28,0.00511328,-0.14495,45.3,1.87117,9.28815,1.6395e-10,0.401695,457.319,9.13742,-0.422,N,SAM 2021.12.02,5/28/2022
Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd AS-6P-330W,Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd,Multi-c-Si,0,329.952,301.3,1.923,1.95,0.986,72,9.35,46.65,8.78,37.58,0.00515185,-0.146014,45.3,1.88633,9.35883,1.68158e-10,0.398075,421.741,9.29723,-0.422,N,SAM 2021.12.02,5/28/2022
Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd AS-6M-335W,Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd,Mono-c-Si,0,335.01,306.2,1.923,1.95,0.986,72,9.33,46.75,8.83,37.94,0.00458103,-0.138847,45.2,1.87212,9.33225,1.32897e-10,0.367145,1521.78,13.1297,-0.421,N,SAM 2021.12.02,5/28/2022
Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd AS-6P-335W,Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd,Multi-c-Si,0,335.036,306,1.923,1.95,0.986,72,9.47,46.83,8.84,37.9,0.00521797,-0.146578,45.3,1.90486,9.48411,1.95621e-10,0.371021,249.022,10.5496,-0.422,N,SAM 2021.12.02,5/28/2022
Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd AS-6M-340W,Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd,Mono-c-Si,0,340.095,310.9,1.923,1.95,0.986,72,9.41,46.91,8.91,38.17,0.00462031,-0.139323,45.2,1.88074,9.41199,1.38067e-10,0.352152,1667.4,13.3991,-0.421,N,SAM 2021.12.02,5/28/2022
Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd AS-6M-345W,Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd,Mono-c-Si,0,345.036,315.6,1.923,1.95,0.986,72,9.48,47.13,8.99,38.38,0.00465468,-0.139976,45.2,1.88884,9.48076,1.38016e-10,0.347267,4330.1,13.322,-0.421,N,SAM 2021.12.02,5/28/2022
Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd AS-6M-350W,Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd,Mono-c-Si,0,350.056,320.3,1.923,1.95,0.986,72,9.59,47.64,9.09,38.51,0.00470869,-0.141491,45.2,1.9021,9.59064,1.27097e-10,0.383665,5766.98,12.4665,-0.421,N,SAM 2021.12.02,5/28/2022
Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd AS-6M120-BHC-355W,Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd,Mono-c-Si,0,355.198,328.4,1.78,,,60,11.24,40.3,10.54,33.7,0.0069688,-0.126139,45.4,1.60838,11.2496,1.44875e-10,0.1603,187.66,6.34163,-0.381,N,SAM 2021.12.02,5/28/2022
Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd AS-6M120-HC-355W,Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd,Mono-c-Si,0,355.238,327.5,1.81,,,60,11.25,40.3,10.51,33.8,0.0061875,-0.112437,46,1.58844,11.2619,1.05285e-10,0.153844,145.065,16.4793,-0.38,N,SAM 2021.12.02,5/28/2022
Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd AS-6M120-HC-355W Black,Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd,Mono-c-Si,0,355.238,331.1,1.83,,,40,11.25,40.3,10.51,33.8,0.0059625,-0.113243,44.2,1.5511,11.2631,5.71003e-11,0.161651,138.39,10.1008,-0.359,N,SAM 2021.12.02,5/28/2022
Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd AS-6M120-BHC-360W,Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd,Mono-c-Si,0,360.018,333.1,1.78,,,60,11.33,40.5,10.62,33.9,0.0070246,-0.126765,45.4,1.61761,11.3397,1.48797e-10,0.156157,181.578,6.50456,-0.381,N,SAM 2021.12.02,5/28/2022
Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd AS-6M120-HC-360W,Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd,Mono-c-Si,0,360.06,332.2,1.81,,,60,11.35,40.5,10.59,34,0.0062425,-0.112995,46,1.59826,11.3625,1.09365e-10,0.149495,135.735,16.7597,-0.38,N,SAM 2021.12.02,5/28/2022
Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd AS-6M120-HC-360W Black,Amerisolar-Worldwide Energy and Manufacturing USA Co. Ltd,Mono-c-Si,0,360.06,335.9,1.83,,,40,11.35,40.5,10.59,34,0.0060155,-0.113805,44.2,1.56853,11.4832,6.74533e-11,0.154261,89.6409,11.4771,-0.359,N,SAM 2021.12.02,5/28/2022
